file,#,organization-name,city-state,organization-type,position-held,from,to
"White House/Trump, Donald J",157,THC Barra Hotelaria LTDA.,Brazil,Foreign Entity,Member,4/15/2014,1/19/2017
"White House/Trump, Donald J",158,THC Central Reservations LLC,"New York, NY",LLC,Member/President,9/16/2013,1/19/2017
"White House/Trump, Donald J",159,THC Central Reservations Member Corp,"New York, NY",Corporation,Chairman/Director/President,9/16/2013,1/19/2017
"White House/Trump, Donald J",160,THC China Development LLC (fka Trump China Development LLC),"New York, NY",LLC,President,2/20/2008,1/19/2017
"White House/Trump, Donald J",162,THC Development Brazil Managing Member Corp,"New York, NY",Corporation,Chairman/Director/President,5/15/2013,1/19/2017
"White House/Trump, Donald J",163,THC Development Brazil LLC,"New York, NY",LLC,Member/President,5/15/2013,1/19/2017
"White House/Trump, Donald J",164,THC Dubai II Hotel Manager LLC,"New York, NY",LLC,Member/President,10/30/2014,11/20/2015
"White House/Trump, Donald J",165,THC Dubai II Hotel Manager Member Corp,"New York, NY",Corporation,Chairman/Director/President,10/30/2014,11/20/2015
"White House/Trump, Donald J",166,THC Hotel Development LLC,"New York, NY",LLC,Member/President,10/11/2012,1/19/2017
"White House/Trump, Donald J",167,THC IMEA Development LLC,"New York, NY",LLC,President,1/16/2012,1/19/2017
"White House/Trump, Donald J",168,THC Miami Restaurant Hospitality Member Corp,"New York, NY",Corporation,Chairman/Director/President,2/1/2013,1/19/2017
"White House/Trump, Donald J",169,THC Miami Restaurant Hospitality LLC,"New York, NY",LLC,Member/President,02/01/13,1/19/2017
"White House/Trump, Donald J",170,THC Rio Managing Member Corp,"New York, NY",Corporation,Chairman/Director/President,04/11/13,1/19/2017
"White House/Trump, Donald J",171,THC Rio Manager LLC,"New York, NY",LLC,Member/President,4/11/2013,1/19/2017
"White House/Trump, Donald J",172,THC Sales & Marketing LLC,"New York, NY",LLC,Member/President,9/17/2013,1/19/2017
"White House/Trump, Donald J",173,THC Sales & Marketing Member Corp,"New York, NY",Corporation,Chairman/Director/President,9/17/2013,1/19/2017
"White House/Trump, Donald J",174,THC China Technical Services Manager Corp,"New York, NY",Corporation,Chairman/Director/President,5/16/2014,1/19/2017
"White House/Trump, Donald J",175,THC China Technical Services LLC,"New York, NY",LLC,Member/President,5/16/2014,1/19/2017
"White House/Trump, Donald J",176,THC Qatar Hotel Manager LLC,"New York, NY",LLC,Member/President,10/30/2014,1/19/2017
"White House/Trump, Donald J",177,THC Qatar Hotel Manager Member Corp,"New York, NY",Corporation,Chairman/Director/President,10/30/2014,10/18/2016
"White House/Trump, Donald J",178,THC Services Shenzhen LLC,"New York, NY",LLC,Member/President,11/25/2014,1/19/2017
"White House/Trump, Donald J",179,THC Services Shenzhen Member Corp.,"New York, NY",Corporation,Chairman/Director/President,11/25/2014,1/19/2017
"White House/Trump, Donald J",180,THC Shenzhen Hotel Manager LLC,"New York, NY",LLC,Member/President,11/25/14,1/19/2017
"White House/Trump, Donald J",181,THC Shenzhen Hotel Manager Member Corp.,"New York, NY",Corporation,Chairman/Director/President,11/25/2014,1/19/2017
"White House/Trump, Donald J",182,THC Vancouver Management Corp.,"New York, NY",Corporation,Chairman/Director/President,01/23/13,1/19/2017
"White House/Trump, Donald J",183,THC Vancouver Payroll ULC,British Columbia (Canada),Corporation,Director/President,2/20/2015,1/19/2017
"White House/Trump, Donald J",184,THC Venture I LLC,"New York, NY",LLC,Member/President,3/14/2014,1/19/2017
"White House/Trump, Donald J",185,THC Venture II LLC,"New York, NY",LLC,Member/President,03/14/14,1/19/2017
"White House/Trump, Donald J",186,THC Venture III LLC - N/K/A TTTT Venture LLC,"New York, NY",LLC,President/,10/27/2014,1/19/2017
"White House/Trump, Donald J",187,THC Venture I Managing Member Corp.,"New York, NY",Corporation,Chairman/Director/President,3/14/2014,1/19/2017
"White House/Trump, Donald J",188,THC Venture II Managing Member Corp.,"New York, NY",Corporation,Chairman/Director/President,3/14/2014,1/19/2017
"White House/Trump, Donald J",189,THC Venture III Member Corp. - N/K/A TTTT Venture Member Corp,"New York, NY",Corporation,Chairman/Director/President,10/27/2014,1/19/2017
"White House/Trump, Donald J",190,"The Donald J. Trump Foundation, Inc.","New York, NY",Non profit,Director,2/18/1987,1/19/2017
"White House/Trump, Donald J",191,The Trump Corporation,"New York, NY",Corporation,Director/President/Chairman,7/30/1980,1/19/2017
"White House/Trump, Donald J",192,The Trump Follies Member Inc.,"New York, NY",Corporation,Chairman/Director/President,12/13/2010,1/19/2017
"White House/Trump, Donald J",193,The Trump Equitable Fifth Avenue Company,"New York, NY",Partnership,Partner,1/30/1980,1/19/2017
"White House/Trump, Donald J",194,TIGL Common Area Management Corp,"New York, NY",Corporation,President/Director,02/21/14,1/19/2017
"White House/Trump, Donald J",195,TIGL Common Area Management Holdings LLC,"New York, NY",LLC,Member/President,2/21/2014,12/30/2015
"White House/Trump, Donald J",196,TIGL Ireland Enterprises Limited (Trump International Golf Links - Doonbeg),"Doonbeg, Ireland",Foreign Entity,Director/President,2/24/2014,1/19/2017
"White House/Trump, Donald J",197,TIGL Ireland Management Limited,"Doonbeg, Ireland",Foreign Entity,President/Director,2/24/2014,1/19/2017
"White House/Trump, Donald J",198,TIHC Reservations LLC,"New York, NY",LLC,Member/President,8/9/2010,1/19/2017
"White House/Trump, Donald J",199,TIHH Member Corp,"New York, NY",Corporation,President/Director,9/10/2009,1/19/2017
"White House/Trump, Donald J",200,TIHH Member LLC,"New York, NY",LLC,Member/President,9/10/2009,1/19/2017
"White House/Trump, Donald J",201,TIHM Member Corp,"New York, NY",Corporation,President/Director,6/13/2006,1/19/2017
"White House/Trump, Donald J",202,TIHT Chicago Member Acquisition LLC,"New York, NY",LLC,President,6/3/2004,1/19/2017
"White House/Trump, Donald J",203,TIHT Commercial LLC,"New York, NY",LLC,Member/President,12/30/1998,1/19/2017
"White House/Trump, Donald J",204,TIHT Holding Company LLC,"New York, NY",LLC,Member/President,1/18/2005,1/19/2017
"White House/Trump, Donald J",205,TIHT Member LLC,"New York, NY",LLC,Member/President,7/20/2006,1/19/2017
"White House/Trump, Donald J",206,Tipperary Realty Corp.,"New York, NY",Corporation,President/Treasurer/Director,11/13/1975,1/19/2017
"White House/Trump, Donald J",207,"TMG Member, LLC","New York, NY",LLC,Member,1/15/1999,1/19/2017
"White House/Trump, Donald J",208,TNGC Charlotte LLC,"New York, NY",LLC,President,10/20/2011,1/19/2017
"White House/Trump, Donald J",209,TNGC Charlotte Manager Corp.,"New York, NY",Corporation,President/Chairman/Director,10/20/2011,1/19/2017
"White House/Trump, Donald J",210,TNGC Dutchess County LLC (fka Trump Marks Classic Cars LLC),"New York, NY",LLC,President,11/17/2009,1/19/2017
"White House/Trump, Donald J",211,TNGC Dutchess County Member Corp. (fka Trump Marks Classic Cars Member Corp),"New York, NY",Corporation,President/Chairman/Director,11/17/2009,1/19/2017
"White House/Trump, Donald J",212,TNGC Jupiter Management LLC,"New York, NY",LLC,President,6/26/2014,1/19/2017
"White House/Trump, Donald J",213,TNGC Jupiter Managing Member Corp,"New York, NY",Corporation,President/Chairman/Director,6/26/2014,1/19/2017
"White House/Trump, Donald J",214,TNGC Pine Hill LLC (fka Crest Court LLC) (Trump National Golf Club - Philadelphia),"New York, NY",LLC,President,11/17/2009,1/19/2017
"White House/Trump, Donald J",215,TNGC Pine Hill Member Corp. (fka Crest Court Member Corp),"New York, NY",Corporation,President/Chairman/Director,11/17/2009,1/19/2017
"White House/Trump, Donald J",216,Toronto Development LLC,"New York, NY",LLC,Member/President,6/28/2001,1/19/2017
"White House/Trump, Donald J",217,TP CFD LLC,"New York, NY",LLC,Member/President,11/28/12,10/18/2016
"White House/Trump, Donald J",218,TP CFD Manager Corp.,"New York, NY",Corporation,President/Chairman/Director,11/28/12,10/18/2016
"White House/Trump, Donald J",219,"Travel Enterprises Management, Inc (Formerly Toys at Trump, Inc.)","New York, NY",Corporation,President/CEO,3/24/1986,1/19/2017
"White House/Trump, Donald J",220,Trump 106 CPS LLC,"New York, NY",LLC,Member/President,3/28/1997,1/19/2017
"White House/Trump, Donald J",223,Trump 845 LP LLC,"New York, NY",LLC,Member/President,9/19/2003,1/19/2017
"White House/Trump, Donald J",224,Trump 845 UN GP LLC,"New York, NY",LLC,Member/President/Treasurer,6/20/1997,1/19/2017
"White House/Trump, Donald J",225,Trump 845 UN MGR Corp.,"New York, NY",Corporation,President,10/14/1998,1/19/2017
"White House/Trump, Donald J",226,Trump 845 UN MGR LLC (F/K/A 845 UN LLC),"New York, NY",LLC,President/Treasurer/Member,5/14/1997,1/19/2017
"White House/Trump, Donald J",227,Trump AC Casino Marks LLC ,"New York, NY",LLC,President/Member,8/3/2010,1/19/2017
"White House/Trump, Donald J",228,Trump AC Casino Marks Member Corp.,"New York, NY",Corporation,President/Chairman/Director,8/3/2010,1/19/2017
"White House/Trump, Donald J",229,Trump Acquisition Corp.,"New York, NY",Corporation,President/Chairman/Director,2/6/2008,1/19/2017
"White House/Trump, Donald J",230,"Trump Acquisition, LLC ","New York, NY",LLC,Member/President,2/6/2008,1/19/2017
"White House/Trump, Donald J",231,Trump Books LLC ,"New York, NY",LLC,Member/President,10/3/2011,1/19/2017
"White House/Trump, Donald J",232,Trump Books Manager Corp.,"New York, NY",Corporation,President/Chairman/Director,10/3/2011,1/19/2017
"White House/Trump, Donald J",233,Trump Brazil LLC ,"New York, NY",LLC,President/Member,9/8/2003,1/19/2017
"White House/Trump, Donald J",234,Trump Briarcliff Manor Development LLC (Formerly Briar Hall Development LLC),"New York, NY",LLC,President,3/4/1996,1/19/2017
"White House/Trump, Donald J",235,Trump Canadian Services Inc ,"New York, NY",Corporation,President/Secretary,March-03,1/19/2017
"White House/Trump, Donald J",236,Trump Canouan Estate LLC ,"New York, NY",LLC,President/Member,12/19/2007,1/19/2017
"White House/Trump, Donald J",237,Trump Canouan Estate Member Corp.,"New York, NY",Corporation,President/Chairman/Director,12/19/2007,1/19/2017
"White House/Trump, Donald J",238,Trump Caribbean LLC ,"New York, NY",LLC,Member,8/27/2001,1/19/2017
"White House/Trump, Donald J",239,Trump Carousel LLC ,"New York, NY",LLC,President/Member,2/18/2010,1/19/2017
"White House/Trump, Donald J",240,Trump Carousel Member Corp.,"New York, NY",Corporation,President/Chairman/Director,2/18/2010,1/19/2017
"White House/Trump, Donald J",241,"Ace Entertainment Holdings Inc (f/k/a Trump Casinos Inc. & Formerly Trump Taj Mahal, Inc.)","Atlantic City, NJ",Corporation,Chairman/Treasurer,8/3/1988,1/19/2017
"White House/Trump, Donald J",242,Trump Central Park West Corp.,"New York, NY",Corporation,President,September-94,1/19/2017
"White House/Trump, Donald J",243,Trump Chicago Commercial Member Corp.,"New York, NY",Corporation,President/Chairman/Director,7/8/2010,1/19/2017
"White House/Trump, Donald J",244,Trump Chicago Commercial Manager LLC ,"New York, NY",LLC,President/Member,6/28/2010,1/19/2017
"White House/Trump, Donald J",245,Trump Chicago Development LLC ,"New York, NY",LLC,President/Member,12/26/2001,1/19/2017
"White House/Trump, Donald J",246,Trump Chicago Hotel Member Corp.,"New York, NY",Corporation,President/Chairman/Director,7/8/2010,1/19/2017
"White House/Trump, Donald J",247,Trump Chicago Hotel Manager LLC ,"New York, NY",LLC,President/Member,6/28/2010,1/19/2017
"White House/Trump, Donald J",248,Trump Chicago Managing Member LLC,"New York, NY",LLC,President,10/1/2004,1/19/2017
"White House/Trump, Donald J",249,Trump Chicago Member LLC,"New York, NY",LLC,President,October-04,1/19/2017
"White House/Trump, Donald J",250,Trump Chicago Residential Member Corp.,"New York, NY",Corporation,President/Chairman/Director,7/8/2010,1/19/2017
"White House/Trump, Donald J",251,Trump Chicago Residential Manager LLC,"New York, NY",LLC,President/Member,6/28/2010,1/19/2017
"White House/Trump, Donald J",252,Trump Chicago Retail LLC,"New York, NY",LLC,President,10/16/2012,1/19/2017
"White House/Trump, Donald J",253,Trump Chicago Retail Manager LLC,"New York, NY",LLC,President/Member,10/23/2012,1/19/2017
"White House/Trump, Donald J",254,Trump Chicago Retail Member Corp.,"New York, NY",Corporation,President/Chairman/Director,10/23/2012,1/19/2017
"White House/Trump, Donald J",255,Trump Classic Cars LLC,"New York, NY",LLC,President/Member,6/24/2010,10/17/2016
"White House/Trump, Donald J",256,Trump Classic Cars Member Corp.,"New York, NY",Corporation,President/Chairman/Director,6/24/2010,10/17/2016
"White House/Trump, Donald J",257,Trump Commercial Chicago LLC,"New York, NY",LLC,President,8/29/2007,1/19/2017
"White House/Trump, Donald J",260,Trump CPS Corp,"New York, NY",Corporation,Director,11/6/1996,1/19/2017
"White House/Trump, Donald J",261,Trump CPS LLC,"New York, NY",LLC,Member & President,11/6/1996 & 11/16/06,1/19/2017
"White House/Trump, Donald J",262,Trump Delmonico LLC,"New York, NY",LLC,Member,11/21/2001,1/19/2017
"White House/Trump, Donald J",263,Trump Development Services LLC,"New York, NY",LLC,President/Member,9/28/2009,1/19/2017
"White House/Trump, Donald J",264,Trump Development Services Member Corp.,"New York, NY",Corporation,President/Director,9/28/2009,1/19/2017
"White House/Trump, Donald J",265,Trump Drinks Israel Holdings LLC,"New York, NY",LLC,Member/President,5/25/2011,10/26/2015
"White House/Trump, Donald J",266,Trump Drinks Israel Holdings Member Corp.,"New York, NY",Corporation,President/Director/Chairman,5/25/2011,10/22/2015
"White House/Trump, Donald J",267,Trump Drinks Israel LLC,"New York, NY",LLC,Member/President,5/25/2011,1/19/2017
"White House/Trump, Donald J",268,Trump Drinks Israel Member Corp.,"New York, NY",Corporation,President/Director/Chairman,5/25/2011,1/19/2017
"White House/Trump, Donald J",269,Trump Education ULC,Nova Scotia (Canada),Corporation,Chairman/Director,5/28/2009,1/19/2017
"White House/Trump, Donald J",270,Trump Empire State Inc.,"New York, NY",Corporation,President/Treasurer/Director,4/18/1994,1/19/2017
"White House/Trump, Donald J",271,Trump Endeavor 12 LLC (Trump National Doral),"New York, NY",LLC,President,10/6/2011,1/19/2017
"White House/Trump, Donald J",272,Trump Endeavor 12 Manager Corp,"New York, NY",Corporation,President/Director/Chairman,10/6/2011,1/19/2017
"White House/Trump, Donald J",273,Trump EU Marks LLC,"New York, NY",LLC,Member/President/Secretary/Treasurer,8/4/2011,1/19/2017
"White House/Trump, Donald J",274,Trump EU Marks Member Corp.,"New York, NY",Corporation,President/Director/Chairman,8/4/2011,1/19/2017
"White House/Trump, Donald J",275,The Trump Entrepreneur Initiative LLC (f/k/a Trump University CA LLC),"New York, NY",LLC,Member,5/14/2009,1/19/2017
"White House/Trump, Donald J",276,Trump Ferry Point LLC,"New York, NY",LLC,President/Member,6/4/2010,1/19/2017
"White House/Trump, Donald J",277,Trump Ferry Point Member Corp.,"New York, NY",Corporation,President/Director/Chairman,6/4/2010,1/19/2017
"White House/Trump, Donald J",278,Trump Florida Management LLC,"New York, NY",LLC,Member,6/13/2005,1/19/2017
"White House/Trump, Donald J",279,Trump Florida Manager Corp.,"New York, NY",Corporation,Director/President,6/10/2005,1/19/2017
"White House/Trump, Donald J",280,The Trump Follies LLC,"New York, NY",LLC,Member & President,12/14/2006,1/19/2017
"White House/Trump, Donald J",283,Trump Golf Acquisition LLC,"New York, NY",LLC,Member/President,4/23/2010,1/19/2017
"White House/Trump, Donald J",284,Trump Golf Coco Beach LLC,"New York, NY",LLC,Member/President,12/11/2007,1/19/2017
"White House/Trump, Donald J",285,Trump Golf Coco Beach Member Corp.,"New York, NY",Corporation,Director/President,12/11/2007,1/19/2017
"White House/Trump, Donald J",286,Trump Golf Management LLC,"New York, NY",LLC,Member/President,1/28/2005,1/19/2017
"White House/Trump, Donald J",287,Trump Home Marks LLC,"New York, NY",LLC,Member/President,11/19/09,1/19/2017
"White House/Trump, Donald J",288,Trump Home Marks Member Corp.,"New York, NY",Corporation,President/Director,11/19/2009,1/19/2017
"White House/Trump, Donald J",289,Trump Ice LLC,"New York, NY",LLC,President/Member,3/25/2004,1/19/2017
"White House/Trump, Donald J",290,"Trump Ice, Inc.","New York, NY",Corporation,Director/President,3/3/1999,1/19/2017
"White House/Trump, Donald J",293,Trump International Development LLC,"New York, NY",LLC,Member/President,11/29/2010,1/19/2017
"White House/Trump, Donald J",294,Trump International Development Member Corp.,"New York, NY",Corporation,President/Director/Chairman,11/29/2010,1/19/2017
"White House/Trump, Donald J",295,Trump International Golf Club LC (Trump International Golf Club - Florida),"Palm Beach, Florida",LLC,Member & President,5/3/1997 & 11/1/13,1/19/2017
"White House/Trump, Donald J",296,Trump International Golf Club Scotland Limited,"Aberdeen, Scotland",Foreign Entity,Director & Chairman,1/24/06 & 3/13/06,1/19/2017
"White House/Trump, Donald J",297,"Trump International Golf Club, Inc.","Palm Beach, Florida",Corporation,President/Director/Secretary/Treasurer,12/9/1996,1/19/2017
"White House/Trump, Donald J",298,Trump International Holel and Tower Condominium,"New York, NY",Condominium Association,President,September-98,1/19/2017
"White House/Trump, Donald J",299,Trump International Hotel Hawaii LLC,"New York, NY",LLC,President,9/10/2009,1/19/2017
"White House/Trump, Donald J",300,Trump International Hotels Management LLC,"New York, NY",LLC,President/Member,6/13/2006,1/19/2017
"White House/Trump, Donald J",301,Trump International Management Corp.,"New York, NY",Corporation,President/Director,7/2/1996,1/19/2017
"White House/Trump, Donald J",304,Trump Korean Projects LLC,"New York, NY",LLC,Member,5/4/1999,1/19/2017
"White House/Trump, Donald J",305,Trump Las Olas LLC,"New York, NY",LLC,Member,6/10/2005,1/19/2017
"White House/Trump, Donald J",306,Trump Las Olas Member Corp.,"New York, NY",Corporation,Director/President,6/10/2005,1/19/2017
"White House/Trump, Donald J",307,Trump Las Vegas Corp.,"Las Vegas, NV",Corporation,Director/President,12/4/2009,1/19/2017
"White House/Trump, Donald J",308,Trump Las Vegas Development LLC,"Las Vegas, NV",LLC,President/Member,10/10/2002,1/19/2017
"White House/Trump, Donald J",309,Trump Las Vegas Managing Member LLC,"Las Vegas, NV",LLC,President/Member,10/10/2002,1/19/2017
"White House/Trump, Donald J",312,Trump Las Vegas Member LLC,"Las Vegas, NV",LLC,President/Member,10/1/2002,1/19/2017
"White House/Trump, Donald J",314,Trump Las Vegas Sales & Marketing Inc,"Las Vegas, NV",Corporation,President,10/8/2004,1/19/2017
"White House/Trump, Donald J",316,Trump Lauderdale Development 2 LLC,"New York, NY",LLC,Member,9/8/2004,1/19/2017
"White House/Trump, Donald J",317,Trump Lauderdale Development LLC,"New York, NY",LLC,President & Member,1/12/04 & 9/22/2003,1/19/2017
"White House/Trump, Donald J",318,Trump Management Inc.,"New York, NY",Corporation,Director & VP,4/22/1969,1/19/2017
"White House/Trump, Donald J",319,Trump Marketing LLC,"New York, NY",LLC,Member/President,2/10/2011,1/19/2017
"White House/Trump, Donald J",320,Trump Marks Asia Corp.,"New York, NY",Corporation,President/Chairman/Director,3/3/2008,1/19/2017
"White House/Trump, Donald J",321,Trump Marks Asia LLC,"New York, NY",LLC,President,2/29/2008 11/14/11 & 2/29/08,1/19/2017
"White House/Trump, Donald J",322,Trump Marks Atlanta LLC,"New York, NY",LLC,Member/President,05/01/08,1/19/2017
"White House/Trump, Donald J",323,Trump Marks Atlanta Member Corp.,"New York, NY",Corporation,President/Director/Chairman,5/1/2008,1/19/2017
"White House/Trump, Donald J",324,Trump Marks Baja Corp.,"New York, NY",Corporation,President/Director,6/13/2007,10/22/2015
"White House/Trump, Donald J",325,Trump Marks Baja LLC,"New York, NY",LLC,Member & President,6/13/2007,10/26/2015
"White House/Trump, Donald J",326,Trump Marks Batumi LLC,"New York, NY",LLC,Member & President,3/3/11 & 3/9/11,1/19/2017
"White House/Trump, Donald J",327,Trump Marks Batumi Member Corp.,"New York, NY",Corporation,President/Director/Chairman,3/9/2011,1/19/2017
"White House/Trump, Donald J",328,Trump Marks Beverages Corp.,"New York, NY",Corporation,President/Director/Chairman,09/25/07,10/22/2015
"White House/Trump, Donald J",329,Trump Marks Beverages LLC,"New York, NY",LLC,Member/President,9/25/2007,10/26/2015
"White House/Trump, Donald J",330,Trump Marks Canouan Corp.,"New York, NY",Corporation,President/Director/Chairman,5/17/2007,1/19/2017
"White House/Trump, Donald J",331,Trump Marks Canouan LLC,"New York, NY",LLC,Member/President,5/17/07,1/19/2017
"White House/Trump, Donald J",332,Trump Marks Chicago LLC,"New York, NY",LLC,Member/President,4/14/2010,1/19/2017
"White House/Trump, Donald J",333,Trump Marks Chicago Member Corp.,"New York, NY",Corporation,President/Director/Chairman,4/14/2010,1/19/2017
"White House/Trump, Donald J",336,Trump Marks Dubai Corp.,"New York, NY",Corporation,President/Director/Chairman,6/13/2007,1/19/2017
"White House/Trump, Donald J",337,Trump Marks Dubai LLC,"New York, NY",LLC,President/Member,6/13/2007,1/19/2017
"White House/Trump, Donald J",338,Trump Marks Egypt Corp.,"New York, NY",Corporation,President/Director/Chairman,9/17/2007,1/19/2017
"White House/Trump, Donald J",339,Trump Marks Egypt LLC,"New York, NY",LLC,President/Member,9/17/2007,1/19/2017
"White House/Trump, Donald J",340,Trump Marks Fine Foods LLC,"New York, NY",LLC,President/Member,9/11/2009,1/19/2017
"White House/Trump, Donald J",341,Trump Marks Fine Foods Member Corp.,"New York, NY",Corporation,President/Director/Chairman,9/11/2009,1/19/2017
"White House/Trump, Donald J",342,Trump Marks Ft. Lauderdale LLC,"New York, NY",LLC,President/Member,11/6/2007,1/19/2017
"White House/Trump, Donald J",343,Trump Marks Ft. Lauderdale Member Corp.,"New York, NY",Corporation,President/Director/Chairman,11/06/07,1/19/2017
"White House/Trump, Donald J",346,Trump Marks GP Corp,"New York, NY",Corporation,President/Director/Chairman,7/12/2005,1/19/2017
"White House/Trump, Donald J",347,Trump Marks Holding LP (FKA Trump Marks LP),"New York, NY",Partnership,Partner,05/25/05,1/19/2017
"White House/Trump, Donald J",348,Trump Marks Hollywood Corp,"New York, NY",Corporation,Director/Chairman/President,4/10/2007,1/19/2017
"White House/Trump, Donald J",349,Trump Marks Hollywood LLC,"New York, NY",LLC,President/Member,04/09/07,1/19/2017
"White House/Trump, Donald J",350,Trump Marks Istanbul II Corp.,"New York, NY",Corporation,Director/Chairman/President,3/19/2008,1/19/2017
"White House/Trump, Donald J",351,Trump Marks Istanbul II LLC,"New York, NY",LLC,President/Member,3/18/2008,1/19/2017
"White House/Trump, Donald J",352,Trump Marks Jersey City Corp.,"New York, NY",Corporation,Director/President,6/27/07,1/19/2017
"White House/Trump, Donald J",353,Trump Marks Jersey City LLC,"New York, NY",LLC,President/Member,6/22/07,1/19/2017
"White House/Trump, Donald J",354,Trump Marks Las Vegas Corp.,"New York, NY",Corporation,Director/President,9/10/2007,1/19/2017
"White House/Trump, Donald J",355,Trump Marks Las Vegas LLC,"New York, NY",LLC,President/Member,9/10/2007,1/19/2017
"White House/Trump, Donald J",356,Trump Marks LLC,"New York, NY",LLC,President,2/28/2005,1/19/2017
"White House/Trump, Donald J",357,Trump Marks Magazine Corp.,"New York, NY",Corporation,Director/President,9/11/2007,11/9/2016
"White House/Trump, Donald J",358,Trump Marks Magazine LLC,"New York, NY",LLC,President/Member,9/11/2007,11/9/2016
"White House/Trump, Donald J",359,Trump Marks Mattress LLC,"New York, NY",LLC,President/Member,08/07/08,1/19/2017
"White House/Trump, Donald J",360,Trump Marks Mattress Member Corp.,"New York, NY",Corporation,Director/Chairman/President,08/07/08,1/19/2017
"White House/Trump, Donald J",361,Trump Marks Menswear LLC,"New York, NY",LLC,President/Member,8/24/2009,1/19/2017
"White House/Trump, Donald J",362,Trump Marks Menswear Member Corp.,"New York, NY",Corporation,Director/President,8/24/2009,1/19/2017
"White House/Trump, Donald J",363,Trump Marks Mortgage Corp.,"New York, NY",Corporation,President/Director,6/19/2007,1/19/2017
"White House/Trump, Donald J",364,Trump Marks Mtg LLC,"New York, NY",LLC,President/Member,08/23/07,1/19/2017
"White House/Trump, Donald J",365,Trump Marks Mumbai LLC,"New York, NY",LLC,President/Member,10/11/2010,1/19/2017
"White House/Trump, Donald J",366,Trump Marks Mumbai Member Corp.,"New York, NY",Corporation,President/Director/Chairman,10/11/2010,1/19/2017
"White House/Trump, Donald J",369,Trump Marks New Rochelle Corp.,"New York, NY",Corporation,Director/President,6/13/2007,1/19/2017
"White House/Trump, Donald J",370,Trump Marks New Rochelle LLC,"New York, NY",LLC,President/Member,6/13/2007,1/19/2017
"White House/Trump, Donald J",371,Trump Marks Palm Beach Corp.,"New York, NY",Corporation,Director/President,06/12/07,1/19/2017
"White House/Trump, Donald J",372,Trump Marks Palm Beach LLC,"New York, NY",LLC,President/Member,6/12/2007,1/19/2017
"White House/Trump, Donald J",373,Trump Marks Panama Corp.,"New York, NY",Corporation,Director/President,4/26/2007,1/19/2017
"White House/Trump, Donald J",374,Trump Marks Panama LLC,"New York, NY",LLC,President/Member,4/26/2007,1/19/2017
"White House/Trump, Donald J",375,Trump Marks Philadelphia Corp.,"New York, NY",Corporation,Director/President,4/18/2007,1/19/2017
"White House/Trump, Donald J",376,Trump Marks Philadelphia LLC,"New York, NY",LLC,President/Member,4/18/2007,1/19/2017
"White House/Trump, Donald J",377,Trump Marks Philippines LLC,"New York, NY",LLC,President/Member,3/3/2008,1/19/2017
"White House/Trump, Donald J",378,Trump Marks Philippines Corp.,"New York, NY",Corporation,Director/President,03/03/08,1/19/2017
"White House/Trump, Donald J",379,Trump Marks Products LLC,"New York, NY",LLC,President/Member,9/13/2010,1/19/2017
"White House/Trump, Donald J",380,Trump Marks Products Member Corp.,"New York, NY",Corporation,President/Director/Chairman,9/13/2010,1/19/2017
"White House/Trump, Donald J",381,Trump Marks Puerto Rico I LLC,"New York, NY",LLC,President/Member,12/11/2007,1/19/2017
"White House/Trump, Donald J",382,Trump Marks Puerto Rico I Member Corp.,"New York, NY",Corporation,Director/President,12/11/07,1/19/2017
"White House/Trump, Donald J",383,Trump Marks Puerto Rico II LLC,"New York, NY",LLC,President/Member,7/8/2008,11/9/2016
"White House/Trump, Donald J",384,Trump Marks Puerto Rico II Member Corp.,"New York, NY",Corporation,President/Chairman/Director,7/8/2008,11/10/2016
"White House/Trump, Donald J",385,Trump Marks Punta del Este LLC,"New York, NY",LLC,President/Member,1/5/2012,1/19/2017
"White House/Trump, Donald J",386,Trump Marks Punta del Este Manager Corp.,"New York, NY",Corporation,President/Director/Chairman,1/5/2012,1/19/2017
"White House/Trump, Donald J",387,The Donald J. Trump Company LLC,"New York, NY",LLC,Manager,4/7/2014,1/19/2017
"White House/Trump, Donald J",388,The Trump Marks Real Estate Corp.,"New York, NY",Corporation,Chairman/Director & President,2/23/2007,1/19/2017
"White House/Trump, Donald J",389,Trump Marks Real Estate LLC,"New York, NY",LLC,President/Member,8/1/2007,1/19/2017
"White House/Trump, Donald J",390,Trump Marks SOHO License Corp.,"New York, NY",Corporation,President/Chairman/Director,06/11/07,1/19/2017
"White House/Trump, Donald J",391,Trump Marks SOHO LLC,"New York, NY",LLC,President/Member,6/11/2007,1/19/2017
"White House/Trump, Donald J",394,Trump Marks Stamford Corp.,"New York, NY",Corporation,Director/President,6/13/2007,1/19/2017
"White House/Trump, Donald J",395,Trump Marks Stamford LLC,"New York, NY",LLC,President/Member,6/13/2007,1/19/2017
"White House/Trump, Donald J",396,Trump Marks Sunny Isles I LLC,"New York, NY",LLC,President/Member,11/6/2007,1/19/2017
"White House/Trump, Donald J",397,Trump Marks Sunny Isles I Member Corp.,"New York, NY",Corporation,Director/President,11/06/07,1/19/2017
"White House/Trump, Donald J",398,Trump Marks Sunny Isles II LLC,"New York, NY",LLC,President/Member,11/6/2007,1/19/2017
"White House/Trump, Donald J",399,Trump Marks Sunny Isles II Member Corp.,"New York, NY",Corporation,Director/President,11/06/07,1/19/2017
"White House/Trump, Donald J",400,Trump Marks Tampa Corp,"New York, NY",Corporation,Director/President,10/26/2007,1/19/2017
