file,part,#,endnote
"White House/Cairncross, Sean",2,82,"The income reported here includes a $35,000 bonus received in December 2016 based on standard RNC determination for staff annual bonuses and is not tied to future government employment."
"White House/Carroll, James W ",2,5,This is a family company. I recieve no earned or investment income from the company or the underlying real estate investments.
"White House/Clark, Justin",6,2,John Hancock Life Insurance Co. - Universal Life Policy
"White House/Cohn, Gary",1,8,Private Charitable Foundation
"White House/Cohn, Gary",2,27,"The filer is notionally invested in Global Long Short Partners, L.P. within the NQDC plan."
"White House/Cohn, Gary",2,37,"At age 59 1/2, I am eligible to receive $12,500 per year."
"White House/Cohn, Gary",6,13.9,"It is against the fund managers’ policy to provide position transparency to its investors. In some instances, the funds’ annual reports disclose high-level information on the funds’ investments. Investments disclosed in the most recent annual report (6.30.16) are as follows:  BCVIII Blackstone V Carlyle IV CVCIV American Securities IV Arlington II Eos III Motion Equity II Quad-C VII Sverica II Wynnchurch II CD&RVII EQT IV Unitas II Vestar V Lake Capital II Providence V Spectrum V Water Street Apollo VI Littlejohn III Sun Capital IV Accel IX Benchmark V Carmel II Celtic House III Crosslink V IDG-Accel China Growth Insight Venture V Storm Ventures III Trinity Ventures IX Genstar IV Roark North America Weston Presidio V Catalent Pharma Solutions - Blackstone Ceridian Corporation - THL Project Columbus Project Swan Quantum Resources - Quantum R.J. O’Brien - Spectrum ServiceMaster Company - CD&R SunGard - GSCP U.S. Foodservice - CD&R"
"White House/Cohn, Gary",6,13.1,"It is against the fund managers’ policy to provide position transparency to its investors. In some instances, the funds’ annual reports disclose high-level information on the funds’ investments. Investments disclosed in the most recent annual report (6.30.16) are as follows:  Project Pasteur Syntegra Capital (f/k/a SGCapital Europe) Project Cierva Portobello Capital (f/k/a Ibersuizas Capital) Project Columbus CCMPCapital (f/k/a JPMorgan Chase) Project Anza  Genstar Capital Project La Salle Chicago Growth Partners Project Bell  Penta Investments Project Ferris Beecken Petty O’Keefe Project Woods Brantley Partners Project Hamilton Lovell Minnick Equity Partners Project Cullen Trimaran Capital Partners Project Descartes Charterhouse Equity Partners Project Adams TowerBrook Capital Partners Project Dennard Brazos Equity Partners Project Miles Stone Arch Capital Project Peral  Mercapital Project Fitch Fenway Partners Project Gibbon Three Cities Research Project Camp Forstmann, Little Project Otto Vision Capital Group Project Diesel Vision Capital Group Project Fox Vision Capital Group Project Gregory Vision Capital Group Project Swan Vision Capital Group Project Raffles Global Diversified portfolio with over 40 underlying managers Project Biddle Quad-C, Spectrum Equity, Willis Stein Project Bohr  Multiple   CY Tax Estimate - Misc Income: $3,300"
"White House/Cohn, Gary",6,13.11,"GS Mezzanine Partners V PMD QP Fund, L.P.  invests in GS Mezzanine Partners V Employee Master Fund Onshore, L.P. that invests into GS Mezzanine Partners V Onshore Fund, L.P., which is an EIF."
"White House/Cohn, Gary",6,13.12,"GS Mezzanine Partners 2006 PCP Fund, L.P. invests into GS Mezzanine Partners 2006 Employee Fund, L.P. that invests into GS Mezzanine Partners 2006 Onshore Fund, L.P., which is an EIF."
"White House/Cohn, Gary",6,13.13,"Global Opportunities Emp LLC invests all or substantially all of its assets in Global Opportunities LLC, which is an EIF."
"White House/Cohn, Gary",6,13.14,"Global Long Short Partners QP LP invests all or substantially all of its assets in Global Long Short Aggregating LP, which is an EIF.  PY K-1 Box 11,Other Income: $241,562"
"White House/Cohn, Gary",6,13.15,"Liberty Harbor QP LLC invests in Liberty Harbor Master Fund I, L.P. (the “Master Partnership”), through Liberty Harbor Aggregating Fund, LLC (the “Aggregating Vehicle”), which is an EIF."
"White House/Cohn, Gary",6,13.17,"West Street III PMD LLC invests in West Street Portfolios LLC – West Street III SP (the “Master Fund”), which is an EIF.  PY K-1 Box 11,Other Income: $8,029"
"White House/Cohn, Gary",6,15.1,"It is against the fund managers’ policy to provide position transparency to its investors. In some instances, the funds’ annual reports disclose high-level information on the funds’ investments. Investments disclosed in the most recent annual report (6.30.16) are as follows:  Accel VII Accel VIII 21 Angel II APV III ARCH V Benchmark IV Blackstone Communications I Brand Farm Cedar II Clearstone II-A Commonwealth III Comstellar Technologies Concord II Crosslink IV Digital II Limited eCompanies Venture Galileo III FX,22 General Catalyst II GorillaPark B.V. H.I.G. Venture Insight Venture IV JK&B III JK&B IV Kodiak II Kodiak Venture Lightspeed VI 23 Madrona I-A Mission Ventures II MPMII MPMIII MVMIIFX Nokia II ONSET IV24 Oxford Bioscience IV Providence IV Salix Ventures II Sigma 6 SOFTBANK Capital Spectrum IV Speed VenturesFX Storm Ventures II THLee Putnam Ventures Trinity Ventures VIII 25 Walden Israel III WaldenVC II 26"
"White House/Cohn, Gary",6,15.2,"CY Tax Estimate -  Ord. Income: $335, Misc. Income: $4,467;  Holdings: Chestnut Place (Americas - Property Development); Drayer Physical Therapy, LLC (Americas - Healthcare Industry); EdgeMarc Energy Holdings, LLC (Americas - Oil and Gas); EW Energy Holdings, LLC (Americas - Oil and Gas); Huntington Beach (Americas - Property Development); Ozner Water International Holding Limited (Asia - Manufacturer); Redwood City (Americas- Property Development); South Lake Union (Americas - Property Development); South Lamar Plaza (Americas - Property Developmen); Cash, Other Assets (Taxes receivable - accounting convention with respect to withholding taxes; Receivables from affiliated entities). Bridge 2012 Holdings: AnchorFree Inc. (Americas - Online Network); Beijing Kuanjie Bohua 2011 Investment Center (Asia-Various Chinese Investments) (EIF); GS Infrastructure Partners II (Various - Investments) (EIF); Infusion Software, Inc. (Americas - Marketing Software); Nova Medical Centers (India - Healthcare management); Plastipak Holdings, Inc. (Americas - Manufacturing); Safe-Guard Products International, LLC (Americas - Insurance); TransUnion Holding Company, Inc. (Americas - Risk Management); West Street Energy Partners (Americas - Energy Investments) (EIF);"
"White House/Cohn, Gary",6,15.3,"Holdings: CPG Warehouse (Americas - Real estate portfolio); National Golf (Americas - Golf Industry); Project Parc (Europe - Industrial assets); Radisson Ambassador San Juan (Americas - Hotel Industry); Wailea Resort Community (Americas - Hotel Industry); Cash, Other Assets (Taxes receivable - accounting convention with respect to withholding taxes; Receivables from affiliated entities)."
"White House/Cohn, Gary",6,16,"Single Asset -  intellectual property;  The patent and intellectual property integrates a live streaming platform with a telephony network. This IP, along with non-patented IP, enables podcasters to easily create audio content. This IP also enables enterprise customers to create live streaming webcasts for Cinchcast."
"White House/Cohn, Gary",6,17,Single Asset - Helicopter
"White House/Cohn, Gary",6,18,"PY K-1 Box 11: $250;  Holdings: Vacant Land (Route 83 - Ohio); Fishcreek 91 (Vacant land - Ohio); Hudson Omni II (Office/warehouse buildings - Ohio); Colorado I-90 (Vacant land - Ohio); Land Trust #2 (Vacant land - Ohio); Omni Park II (Office/warehouse buildings - Ohio [donated to Jewish Federation of Cleveland on December 1, 2016]); Hudson Omni (Office buildings - Ohio); Shaker II, LLC (Office/warehouse buildings - Ohio); Shaker Storage LLC (Self-storage units - Ohio); State of Israel Bonds; Clean Waternet, Ltd (Water Information Technology - Ohio); Single Asset (Intellectual property); American Funds Account (Underlying assets: AMACAP Fund (AMCPX); Capital Income Builder (CAIBX); EuroPacific Growth Fund (AEPGX); Fundamental Investors (ANCFX); The Investment Company of America (AIVCX)); Lincoln Investments Account (Underlying assets: FEDERATED CAPITAL RESERVES; INTERLINK INS BANKDEPOSIT B); ALGER SPECTRA FUND CLASSA (SPECX); BLACKROCK GLOBAL ALLOCATION FUND INC CLASS A (MDLOX); THORNBURG DEVELOPING WORLD FUND CLASS A (THDAX); YCG ENHANCED FUND (YCGEX); ISHARES TR MSCI EAFE ETF (EFA); ISHARES TR CORE S&P MID-CAP ETF (IJH); ISHARES TR CORE S&P SMALL-CAP ETF (IJR); POWERSHARES EXCHANGE-TRADED FD (PID); POWERSHARSE GLOBAL EXCHANGE TRADED FD (PBP); SPDR S&P 500 ETF TR UNIT (SPY); VANGUARD SPECIALIZED PORTFOLIOS DIVIDEND APPRECIATION INDEX FD ETF (VIG); VANGUARD TOTAL STOCK MARKET ETF (VTI))."
"White House/Cohn, Gary",6,19,"Single Asset -  intellectual property; Patent number: 7,561,287; Description: A system comprising a facsimile device configured to transmit a code-associated information material, an interactive user device, and a processor. Typically, the code-associated information material is a medical record to which a barcoded fax cover sheet is appended. The interactive device is preferably a computer terminal, wherein the processor is coupled to the interactive user device via the Internet. The processor is configured to receive from the facsimile device a transmission of the information material, and to display it to an authorized user upon a request from the authorized user. The information material may be displayed via Internet, or else may be faxed to an authorized user in response to a telephone call."
"White House/Cohn, Gary",6,20,"*Only available information was PY K-1.  Holding:  - TPG lASIS Co-Invest I, LLC, IASIS Healthcare (owner and operator of hospitals)"
"White House/Cohn, Gary",6,21,Single Asset -  Vacant land
"White House/Cohn, Gary",6,22,"Multiple assets - intellectual property, patents"
"White House/Cohn, Gary",6,23,This asset is comprised of both preferred shares and a convertible note.
"White House/Cohn, Gary",6,26.1.1,"Single Asset -  intellectual property; The patent and intellectual property integrates a live streaming platform with a telephony network. This IP, along with non-patented IP, enables podcasters to easily create audio content. This IP also enables enterprise customers to create live streaming webcasts for Cinchcast."
"White House/Cohn, Gary",6,26.1.2,Single Asset - Intellectual property;  The patent is for an interactive respiratory device usage tracking system.
"White House/Cohn, Gary",6,26.1.3,"Single Asset - Intellectual property; Delos Living LLC, along with its affiliates including International Well Building Institute PBC and Well Living Lab Inc., own an intellectual property (IP) portfolio that includes a number of types of IP.  More specifically, the IP portfolio includes the following as of filing date: 1.Trademarks: the IP portfolio includes registrations and pending applications in many countries for trademarks, service marks and certification marks for promoting and marketing products, services and certifications focused on human health and wellness in the built environment.  2.Copyrights: the IP portfolio includes copyright protected materials such as photographs, images, guidebooks, standards, educational materials, surveys, template agreements, marketing and promotional materials, videos, software, graphic designs, and other content and materials used to improve and promote human health and wellness in the built environment and support the business activity of Delos Living LLC and its affiliates.  3.Patents: The IP portfolio includes pending patent applications and granted patents in multiple countries (see list below).  The pending patent applications and granted patents can be organized broadly into the following subject matter areas:  a.Green wall modular systems b.LED (light emitting diode) lighting systems. c.Systems, methods and articles for enhancing wellness associated with habitable environments. d.Systems, methods and articles for monitoring human wellness.  *Only available information was PY K-1."
"White House/Cohn, Gary",6,26.1.4,"This entity owns 24 residential properties located in: Plano, TX; Philadelphia, PA; Charlotte, NC; Kemah, TX; Savannah, GA; Tulsa, OK; Lincoln, NE; Panama City Beach, FL; Westminster, CO; Elkridge, MD; Sarasota, FL; Destin, FL; Colorado Springs, CO Chelsea, MA; Saugus, MA; Windermere, FL; Wakefield, RI Oxnard, CA; Norfolk, VA; West Chester, PA; Orlando, FL Boca Raton, FL; Peabody, MA; Silverdale, WA.  CY Partnership Distribution: $292,092"
"White House/Cohn, Gary",6,26.1.5,"Single Asset - Intellectual property; Patent was applied for in 2012 but has since been abandoned.  The company had numerous trademarks, copyrights etc. Most have been sold or otherwise transferred since Every Day Networks has ceased operations and is in the process of liquidation."
"White House/Cohn, Gary",6,26.1.7,"Single Asset - Intellectual property; Samumed, LLC has 61 issued (or allowed and waiting to be officially issued) patents as of February 1, 2017. The patent portfolio covers multiple genera of novel chemical compounds, their methods of use in connection with various diseases, their formulations, manufacturing processes and polymorphs.  *Only available information was PY K-1."
"White House/Cohn, Gary",6,26.1.9.1,"Guard Control PMD, L.P. invests in Guard Control Partnership, L.P., which is an EIF."
"White House/Cohn, Gary",6,26.1.9.3,"Single Asset - Intellectual property; Samumed, LLC has 61 issued (or allowed and waiting to be officially issued) patents as of February 1, 2017. The patent portfolio covers multiple genera of novel chemical compounds, their methods of use in connection with various diseases, their formulations, manufacturing processes and polymorphs.  *Only available information was PY K-1."
"White House/Cohn, Gary",6,26.1.9.5,*Only available information was PY K-1.
"White House/Cohn, Gary",6,26.1.10.4,Single Asset -  Garage
"White House/Cohn, Gary",6,26.1.10.5,Single Asset -  Garage  *Only available information was PY K-1.
"White House/Cohn, Gary",6,26.1.11.10,"DRT Investors LP is a partnership which holds an investment in Uber Technologies, Inc.  *Only available information was PY K-1."
"White House/Cohn, Gary",6,26.3,"Single Asset -  intellectual property; holds an investment in Abyrx, Inc., a Irvington, NY based medical technologies company that develops, manufactures, and provides therapeutic devices for use during surgical procedures."
"White House/Cohn, Gary",6,26.4.2.3,"This asset is a cash remainder from units in the equity tranche of a specific collateralized loan obligation originated in July 2007 and previously scheduled to mature in August 2022. Equity holders in the structure voted to early redeem it on July 29, 2016 and the majority of this value was paid in a liquidating distribution in August."
"White House/Cohn, Gary",6,26.4.2.8,Liberty Harbor Corporate Credit Strategies LLC  PY K-1 Box 11: $262
"White House/Cohn, Gary",6,26.4.2.9,"Holdings: China Haisheng Juice Holdings Co., Ltd. (Asia - Food production); Fidelity National Information Services, Inc. (Americas - Banking); National Golf Properties (Americas - Golf industry); Neos, Inc. (Americas - Oil and gas industry); Sensus (Bermuda 1) Ltd. (Americas - Utility industry); SunGard Availabilty Services Capital Inc. (Americas - Software industry); Cash, Taxes Receivable, Other Assets (Receivable from affiliated entities; Immaterial equity interest in client funds for override purposes).  CY Tax Estimate - Misc. Income: $1,800"
"White House/Cohn, Gary",6,26.4.2.10,"Holdings: China Haisheng Juice Holdings Co., Ltd. (Asia - Food production); Fidelity National Information Services, Inc. (Americas - Banking); Neos, Inc. (Americas - Oil and gas industry); Sensus (Bermuda 1) Ltd. (Americas - Utility industry); SunGard Availabilty Services Capital Inc. (Americas - Software industry); Cash, Taxes Receivable, Other Assets (Receivable from affiliated entities).  CY Tax Estimate - Misc. Income: $450"
"White House/Cohn, Gary",6,26.4.2.11,"GS Capital Partners V PCP Fund, L.P. invests in GS Capital Partners V Employee Fund, L.P. that invests into GS Capital Partners V Fund, L.P., which is an EIF."
"White House/Cohn, Gary",6,26.4.2.12,"CY Tax Estimate - Ord. Income: $34,000, Misc. Income: $707,392.  GS Capital Partners VI PMD QP Fund, L.P. invests in GS Capital Partners VI Employee Master Fund, L.P. (underlying assets: Enstar Group Limited (Americas - Manager of domestic and international reinsurance companies); and Expro International Group Limited (Europe - Provider of Oilfield services and products), but the majority of capital is invested into GS Capital Partners VI Fund, L.P., which is an EIF."
"White House/Cohn, Gary",6,26.4.2.13,"Holdings: Advanced Recovery Systems, LLC (Americas - Healthcare industry); BPL Medical Technologies Private Limited (India- Healthcare equipment industry); Broad Street Loan Partners 2013 (Various - Finance industry) (EIF); Broad Street Real Estate Credit Partners II (Various - Real estate finance industry) (EIF); DEN Networks Limited (India - Communications); Global Consumer Products Private Limited (India - Food industry); iKang Healthcare Group, Inc. (Asia - Healthcare industry); Longhorn Austin (Americas - Real estate development); Longhorn Capitol Towers (Americas - Real estate development); ProQuest Holdings LLC (Americas - Research industry); Cash, Other Assets (Unrealized hedge gain on a sold investment; Immaterial equity interest in client funds for override purposes; Receivables from affiliated entities; Taxes receivable - accounting convention with respect to withholding taxes). Bridge Street 2013 Holdings: Applause Inc. (Americas - Desktop Technology); Beijing Kuanjie Bohua 2011 Investment Center (Asia - Chinese related investments) (EIF); Brighton Health Group Holdings, LLC (Americas - Healthcare industry); Cell Site Solutions (Americas - Communications industry); CTI Foods Holding Co., LLC (Americas - Food industry); GS Infrastructure Partners II (Various - Investments) (EIF); GSG Residential (Elk) Portfolio (Americas - Real estate industry); Hastings Insurance Group Ltd (Europe - Insurance industry); Pipeline Supply & Service, LLC (Americas - Oil and Gas industry); PSAV Holdings LLC (Americas - Hotel Technology); T2 Biosystems, Inc. (Americas - Medical Testing); USJ Co., Ltd. (Asia - Theme park); Vero Group (Europe - Student Housing portfolio); West Street Energy Partners (Various - Energy investments) (EIF);  CY Tax Estimate - Ord. Income: $14,369, Misc. Income: $19,411"
"White House/Cohn, Gary",6,26.4.2.14,"Holdings: 144th and Grant (Americas - Multi-family development property in Thornton, Colorado; Residential) 7th at Gilman (Americas - Multi-family development property in Issaqauh, Washington; Residential) Alexan Cityline (Americas - Multi-family development property in Richardson, Texas; Residential) Alexan Riveredge (Americas - Multi-family development property in Dallas, Texas; Residential) Alta Belmont Hills (Americas - Multi-family development property in Smyma, Georiga; Residential) Alta Gateway (Americas - Multi-family development property in Salt Lake City, Utah; Residential) Alta Left Bank (Americas - Multi-family development property in Ft. Worth, Texas; Residential) Antuit Holdings Pte. Ltd. India- Business Marketing Broad Street Real Estate Credit Partners II - Various - Investments Broadstone Energy Park (Americas - Multi-family development property in Houston, Texas; Residential) Broadstone Farmers Market (Americas - Multi-family development property in Dallas, Texas; Residential) Broadstone Skyline (Americas - Multi-family development property in Houston, Texas; Residential) Daesung Industrial Gases Co. Ltd. - Asia - Gas D-Wave Systems, Inc. - Americas - Quantum Computing Flint Group GmbH - Europe - Print and Ink GS Mezzanine Partners VI - Various - Investment Hastings Insurance Group Ltd - Europe - Insurance Hearthside Food Solutions - Americas - Manufacturer Ipreo Parent Holdco LLC - Americas - Software MédiPôle Partenaires - Europe - Health Industries Neovia Logistics Holdings Ltd. - Americas - Supply Chain Management One Belleview (Americas - Suburban office building in Denver, Colorado; Commercial) Portillo Restaurant Group (Americas - Operator of fast-casual restaurants; Commercial) South Towne Center (Americas - Regional mall and shopping center located in Sandy, Utah; Commercial) Windeln.de - Europe - Retailer Woowa Brothers Corp - Asia - Food Delivery Cash, Other Assets (Other assets: Immaterial equity interest in client funds for override purposes; Taxes receivable (accounting convention with respect to withholding taxes); Receivables from affiliated entities; Capitalized expenses on pending investments.) Bridge Street 2014 Holdings: AvePoint, Inc. - Americas - Technology Best Logistics Technologies Limited - Asia - Supply Chain Management Nan He Xing Chan Co., Ltd. (Taiwanese holding company that owns approximately 400,000 square meters of prime commercial and residential real estate in Kaohsiung, Taiwane assets in Kaohsiung, Taiwan; Commercial & Residential) Odyssey Logistics & Technology Corporation - Americas - Transportation Paycor, Inc. - Americas - Software Spiceworks, Inc. - Americas - Social network Technology  CY Tax Estimate - Misc. Income: $40,351"
"White House/Cohn, Gary",6,26.4.2.15,"Holdings: 110 University Place (Americas - Residential and commercial development in New York City.) Advanced Recovery Systems, LLC - Americas - Rehabilitation Alexan Glenwood (Americas - Multi-family development property in Atlanta, Georgia; Residential) Alta on the Park (Americas - Multi-family development property in Atlanta, Georgia; Residential) Aruba Caribbean Hotel Holding VBA (Americas - Hotel acquisition / conversion in Palm Beach, Aruba; Commerical) Ascletis BioScience Co. Ltd. - Asia - Health Industries Axioma, Inc. - Americas - Portfolio Management Broadstone Sandy Spring (Americas - Multi-family development property in Atlanta, Georgia; Residential) Ciro's Plaza (Americas - Office building in Shanghai, China; Commerical) Credible Behavorial Health, Inc. - Americas - Health Industries El Camino Real (Americas - Multi-family development in Redwood City, California; Residential) Evariant, Inc. - Americas - Software GCA Services Group, Inc. - Americas - Maintenance Golden State Medical Supply Co., Ltd. - Americas - Pharmaceutical Gridsum Holding Inc. - Asia- Business Solutions GS Mezzanine Partners VI - Various - Investments Guahao.com Limited - Asia- Mobile Health Care Hamlet Protein AS - Europe - Animal Health Laboratoire HRA Pharma SAS - Europe - Pharmaceutical LLamasoft, Inc. - Americas - Software Luvo, Inc. - Americas - Frozen Food M-Tec Holding Danmark ApS - Europe - Software nanoPay Holdings Inc. - Americas - Americas - Payment Platform Oncoclinicas Do Brasil Servicos Medicos SA - Americas - Oncology Treatment Option Care - Americas - Infusion Therapy Park Avenue Buckhead (Americas - Multi-family development property in Atlanta, Georgia; Residential) Pepperfry.com - India - Retailer Persado Holdings Ltd - Americas - Technology PRL Developers Private Limited - India - Real Estate ProQuest Holdings LLC - Americas - Research Qubit Digital Ltd - Europe - E-commerce ScienceLogic Inc. - Americas - Information Management Sterling Talent Solutions - Americas - Preemployment Screening Suja Life, LLC - Americas - Juices Talentsoft SA - Europe - Software Tastemade, Inc. - Americas - Media Company Tutorgroup Holding - Asia - Learning Services Venus Medtech (Hangzhou) Inc - Asia- Production Vero Group (Europe - Portfolio of student housing assets in the UK; Residential) WeWork Companies Inc. (Americas - Provider of workspace rentals on a month-to-month basis; Commercial) Xiaomi Technology Company Limited - Asia - Techonology Company Zigbang Co., Ltd. (Asia - Real Estate Listing Platform) Cash, Other Assets (Immaterial equity interest in client funds for override purposes; Taxes receivable (accounting convention with respect to withholding taxes); Receivables from affiliated entities; Capitalized expenses on pending investments.)  CY Tax Estimate - Misc. Income: $54,111"
"White House/Cohn, Gary",6,26.4.2.16,"Holdings: Alexan Central Park (Americas - Multi-family development property in Redmond, Washington; Residential) Austin Proper Hotel and Residences (Americas - Multi-family and hotel development property in Austin, Texas; Commercial & Residential) Broadstone South Gulch (Americas - Multi-family development property in Nashville, Tennessee; Residential) Broadstone Westside (Americas - Operators of Multi-family communities in Atlanta, Georgia; Residential) Cell Site Solutions - Americas - Brazil Developers Continental Bakeries - Europe- Distributors Cova Beijing Zpark Investment Ltd. (Asia - Office building in Beijing; Commercial) Den Networks Limited - India - Cable Digital Management, Inc. - Americas - Digital mobility Godfrey Hollywood (Americas - Hotel development property in Santa Monica, California: Commercial) Happy Call Co., Ltd. - Asia- Manufacturer Jiangsu Carzone Auto Parts Co., Ltd. - Asia - Distributor MavenLink, Inc. - Americas - Software North Shore Lofts (Americas - Multi-family development property in Austin, Texas; Residential) Santa Monica Proper (Americas - Hotel development in Santa Monica, California; Commercial) Sprout Social, Inc. - Americas - Social Media Products Tienda Inglesa U.S. Holdings LLC - Americas - Super market chain TraceLink, Inc. - Americas - Software Transbay Development Project (Americas - Mixed-use development project in San Francisco, California; Commercial & Residential) Cash, Other Assets (Immaterial equity interest in client funds for override purposes; Taxes receivable (accounting convention with respect to withholding)  CY Tax Estimate - Misc. Income: $900"
"White House/Cohn, Gary",6,26.4.2.17,Taikang Insurance Group Inc. (Asia - Financial Services); Cash;Taxes Receivable - taxes paid on behalf of fund investors.
"White House/Cohn, Gary",6,26.4.2.18,"Global Private Opportunities Partners II LP;  PY K-1 Box 11: $1,692"
"White House/Cohn, Gary",6,26.4.2.19,"GS Developing Markets Real Estate Partners PMD QP Fund, L.P. invests in Goldman Sachs Developing Markets Real Estate Partners (US), L.P. that invests into Goldman Sachs Developing Markets Real Estate Partners (US) Coperatief U.A., which is an EIF."
"White House/Cohn, Gary",6,26.4.2.20,"Holdings: 56 Leonard Street (Americas - Condo development in New York City; Residential) Caribbean Fund 2005 (EIF) (Americas - Royal Decameron Hotel in Panama; CR Holdings (3 hotels) in Costa Rica; Marriott Aruba; Commercial) CNL Fargo Holdings (Americas - Portfolio of hotel assets located across the U.S.; Commercial) Kerzner International Limited - Europe - Hospitality KQ Portfolio - Debt - (Europe - Portfolio of retail assets located across Germany; Commercial) KQ Portfolio - Equity (Europe - Portfolio of retail assets located across Germany; Commercial) MoMA West (Americas - Condo development in New York City; Residential) National Gateway at Potomac Yard (Americas - Office building near Washington, D.C.; Commercial) Sofitel North America Portfolio (Americas - Hotel asset located in Los Angeles, California; Commercial) Cash, Other Assets (Receivables from affiliated entities; Taxes receivable (accounting convention with respect to withholding taxes.)  CY Tax Estimate - Ord. Income: $47,400"
"White House/Cohn, Gary",6,26.4.2.21,"CY Tax Estimate - Ord. Income: $160,000.  Broad Street Senior Credit Partners Employee Fund, L.P. invests in Broad Street Senior Credit Partners, L.P., which is an EIF."
"White House/Cohn, Gary",6,26.4.2.22,"The manager does not release information regarding the underlying investments of this asset, except in limited circumstances;  PY K-1 Box 11: $603,904"
"White House/Cohn, Gary",6,26.4.2.23,"Liberty Harbor QP LLC invests in Liberty Harbor Master Fund I, L.P. (the “Master Partnership”), through Liberty Harbor Aggregating Fund, LLC (the “Aggregating Vehicle”), which is an EIF."
"White House/Cohn, Gary",6,26.4.3,"CY Partnership Distribution: $13,735"
"White House/Cohn, Gary",6,26.4.4,"Single Asset -  intellectual property; The patent and intellectual property integrates a live streaming platform with a telephony network. This IP, along with non-patented IP, enables podcasters to easily create audio content. This IP also enables enterprise customers to create live streaming webcasts for Cinchcast."
"White House/Cohn, Gary",6,26.4.5,*Only available information was PY K-1.
"White House/Cohn, Gary",6,26.4.7,Single Asset - Intellectual property; IP consists of a web application that enables consumers to book apartments for short-term rentals.
"White House/Cohn, Gary",6,26.4.9,"Single Asset -  intellectual property; Held an underlying investment in Advanced Cerametrics, Inc., which was a medical device company that closed in July 2016.  No patents held."
"White House/Cohn, Gary",6,26.4.10,Single Asset - intellectual property; Patents are held on software used for compute visibility and cybersecurity.
"White House/Cohn, Gary",6,26.4.11,Single Asset -  intellectual property; IP relates to medical device innovation.
"White House/Cohn, Gary",6,26.4.12,"Single Asset -  intellectual property; OrthoSensor’s patent portfolio protects various aspects of an existing intra-operative knee sensor, which is used in total knee arthroplasty procedures, as well as contemplated future products."
"White House/Cohn, Gary",6,26.4.13,*Only available information was PY K-1.
"White House/Cohn, Gary",6,26.4.18,*Only available information was PY K-1
"White House/Cohn, Gary",6,26.4.19,*Only available information was PY K-1
"White House/Cohn, Gary",6,26.4.20,*Only available information was PY K-1
"White House/Cohn, Gary",6,26.4.21,*Only available information was PY K-1
"White House/Cohn, Gary",6,26.4.22,Single Asset - Residential investment home
"White House/Cohn, Gary",6,32.2,"This asset is a cash remainder from units in the equity tranche of a specific collateralized loan obligation originated in July 2007 and previously scheduled to mature in August 2022. Equity holders in the structure voted to early redeem it on July 29, 2016 and the majority of this value was paid in a liquidating distribution in August."
"White House/Cohn, Gary",6,32.3,Underlying investments of AXA variable policy:  EQ/BlackRock Basic Value Equity EQ/GAMCO Small Company Value EQ/Invesco Comstock EQ/MFS International Growth EQ/T.Rowe Price Growth Stock EQ/Wells Fargo Omega Growth Fidelity VIP Contrafund Lazard Retire Emerging Mrkt Equity
"White House/Cordish, Reed",6,1,"LLC owns food and beverage venue in Kansas City, MO."
"White House/Cordish, Reed",6,2,"LLC owns a partial interest in a mixed-used commercial real estate project in Arlington, TX"
"White House/Cordish, Reed",6,3,"LLC owns food and beverage venue in Kansas City, MO"
"White House/Cordish, Reed",6,4,"LLC owns retail venue in Kansas City, MO"
"White House/Cordish, Reed",6,5,"LLC owns food and beverage venue in St. Louis, MO"
"White House/Cordish, Reed",6,6,"This partnership  owns a portfolio of publicly traded bonds, mutual funds and equity securities. Security-level values and income information attributable to my ownership interest in underlying individual securities are not readily ascertainable."
"White House/Cordish, Reed",6,6.1,I divested this equity holding in full
"White House/Cordish, Reed",6,6.7,I divested this equity holding in full
"White House/Cordish, Reed",6,6.8,I divested this equity holding in full
"White House/Cordish, Reed",6,6.11,I divested this equity holding in full
"White House/Cordish, Reed",6,6.16,I divested this equity holding in full
"White House/Cordish, Reed",6,6.17,I divested this equity holding in full
"White House/Cordish, Reed",6,6.2,"Shares in company fully liquidated on January 25,2017"
"White House/Cordish, Reed",6,6.29,"Shares in company fully liquidated on January 25,2017"
"White House/Cordish, Reed",6,6.3,"Shares in company fully liquidated on January 25,2017"
"White House/Cordish, Reed",6,6.48,I divested this equity holding in full
"White House/Cordish, Reed",6,6.49,I divested this equity holding in full
"White House/Cordish, Reed",6,6.5,"Shares in company fully liquidated on January 25,2017"
"White House/Cordish, Reed",6,6.59,I divested this equity holding in full
"White House/Cordish, Reed",6,6.62,"Shares in company fully liquidated on January 25,2017"
"White House/Cordish, Reed",6,6.68,"Shares in company fully liquidated on January 25,2017"
"White House/Cordish, Reed",6,7,"Owns note on residential property in Baltimore, MD"
"White House/Cordish, Reed",6,8,"LLC pursued development in Louisville, KY; no longer active and liquidated"
"White House/Cordish, Reed",6,9,"LLC owns food and beverage venue in Baltimore, MD"
"White House/Cordish, Reed",6,10,"Sole asset is sales tax rebate payment in Atlantic City, NJ"
"White House/Cordish, Reed",6,11,"This partnership owns a portfolio of publicly traded bonds, mutual funds and equity securities held in brokerage accounts. Security-level values and income information attributable to my individual ownership interest in underlying individual securities are not readily ascertainable. Note: I have divested my interest in this entity in full."
"White House/Cordish, Reed",6,11.2,"Shares in company fully liquidated on January 25,2017"
"White House/Cordish, Reed",6,11.29,"Shares in company fully liquidated on January 25,2017"
