file,#,source-name,city-state,brief-description-of-duties
"White House/Gray, Alexander",2,Presidential Transition Team,"Washington, District of Columbia",Served on the Landing Team for the U.S. Department of State Transition
"White House/Greenblatt, Jason",1,The Trump Organization,"New York City, New York",Executive Vice President and Chief Legal Officer. Oversaw the legal department.
"White House/Gribbin, David",1,"HDR, Inc.","Omaha, Nebraska",Head of Strategic Consulting
"White House/Gribbin, David",2,Macquarie Capital,"New York, New York",Consultant
"White House/Gribbin, David",3,Macquarie Capital,"New York, New York",Head of Government Advisory
"White House/Gribbin, David",4,HDR Client Honolulu Authority for Rapid Transit,"Honolulu, Hawaii",Advised on public private partnerships
"White House/Gribbin, David",5,HDR Client -- Virginia Department of Transportation,"Richmond, Virginia",Advised on dashboard for high-priority projects
"White House/Gribbin, David",6,Macquarie Client -- Texas Department of Transportation,"Austin, Texas",Advised on public private partnerships
"White House/Gribbin, David",7,Macquarie Client -- Colorado Department of Transportation,"Denver, Colorado",Advised on public private partnerships
"White House/Gribbin, David",8,Macquarie Client -- Government of Puerto Rico,"San Juan, Puerto Rico",Advised on P3s
"White House/Gribbin, David",9,Macquarie Client -- Freeport LNG,"Houston, Texas",Advised on permitting LNG facility
"White House/Grisham, Stephanie",1,Arizona House of Representatives,"Phoenix, Arizona",
"White House/Grisham, Stephanie",2,Donald J Trump for President,"New York, New York",Director of Press
"White House/Hagin, Joseph",1,Boston Properties Inc.,"Washington, District of Columbia",Business Consulting Services
"White House/Hagin, Joseph",2,Command at Sea International LLC,"Washington, District of Columbia",Business Consulting Services
"White House/Hagin, Joseph",3,Command Consulting Group Dallas LLC,"Dallas, Texas",Business Consulting Services
"White House/Hagin, Joseph",4,CT Strategies LLC,"Washington, District of Columbia",Business Consulting Services
"White House/Hagin, Joseph",5,Dallas County Community College District,"Dallas, Texas",Business Consulting Services
"White House/Hagin, Joseph",6,D.E. Shaw & Co.,"New York, New York",Business Consulting Services
"White House/Hagin, Joseph",7,Elliott Management,"New York, New York",Business Consulting Services
"White House/Hagin, Joseph",8,Emaar Projects,"Dubai, Outside U.S.",Business Consulting Services
"White House/Hagin, Joseph",9,Financial Integrity Network,"Washington, District of Columbia",Business Consulting Services
"White House/Hagin, Joseph",10,Fortalice Solutions LLC,"Washington, District of Columbia",Business Consulting Services and lease sub-let income
"White House/Hagin, Joseph",11,Harbinger LLC,"Washington, District of Columbia",Business Consulting Services and lease sub-let income
"White House/Hagin, Joseph",12,McMahon Ventures LLC,"Stamford, Connecticut",Business Consulting Services
"White House/Hagin, Joseph",13,Transformational Security,"Columbia, Maryland",Business Consulting Services
"White House/Hagin, Joseph",14,"Google, Inc.","Mountain View, California",Business Consulting Services
"White House/Hagin, Joseph",15,"Under Armour, Inc.","Baltimore, Maryland",Business Consulting Services
"White House/Hahn, Julia",1,Breitbart News Network LLC,"Los Angeles, California",Investigative reporter
"White House/Hahn, Julia",2,Ingraham Radio LLC,"Bethesda, Maryland",Associate and then executive producer
"White House/Haley, Vincent",1,Gingrich Productions,"Arlington, Virginia","Research, Writing, Movie Production, Advising, Consulting"
"White House/Haley, Vincent",2,Gingrich Foundation,"Arlington, Virginia","Movie Production Services (research, writing, editing, outlining, script review, filming, interviewing)."
"White House/Haley, Vincent",3,"Billy Graham Film Project, LLC","Arlington, Virginia",Producer
"White House/Herndon, Charles C",1,CSRA,"Falls Church, Virginia",Business Development Executive
"White House/Herndon, Charles C",2,SRA International,"Fairfax, Virginia",Chief Technology Officer
"White House/Herndon, Charles C",3,Command Consulting,"Washington, District of Columbia",Preperation of Generic System Security Plans
"White House/Hicks, Hope",1,"Trump Organization, Inc","New York, New York",Director of Communications
"White House/Hicks, Hope",2,"Donald J. Trump for President, Inc.","New York, New York",Communications consultant
"White House/Hicks, Hope",3,"Trump for America, Inc.","Washington,, District of Columbia",
"White House/Hunter, Mallory",1,Republican National Committee,"Washington, District of Columbia",Director of Operations
"White House/Jack, Brian",1,American Israel Public Affairs Committee,"Washington, District of Columbia",
"White House/Jack, Brian",2,"BTJ Strategies, LLC","Peachtree City, Georgia",
"White House/Jack, Brian",3,Carson America,"Arlington, Virginia","Political consulting services  (Client of BTJ Strategies, LLC)"
"White House/Jack, Brian",4,"Donald J. Trump for President, Inc.","New York, New York","Political consulting services  (Client of BTJ Strategies, LLC)"
"White House/Jack, Brian",5,"Trump for America, Inc.","Washington, District of Columbia","Consulting services  (Client of BTJ Strategies, LLC)"
"White House/Jarmula, Ryan",1,"Donald J. Trump for President, Inc.","New York, New York",Policy Adviser and Speechwriter
"White House/Jarmula, Ryan",2,State of Indiana,"Indianapolis, Indiana",Speechwriter in the Office of the Governor
"White House/Juster, Kenneth",1,Gold Reserve Corporation,"Spokane, Washington","Board Member Directors fee $36,000"
"White House/Juster, Kenneth",2,Warburg Pincus LLC,"New York, New York",Partner in Private Equity Investment Firm
"White House/Juster, Kenneth",3,Bridgepoint Education,"San Diego, California","Board Member Directors fee $14,375"
"White House/Karem, Michael J",1,Pinnacle West,"Pheonix, Arizona",Chief of Staff
"White House/Karem, Michael J",2,"Donald Trump for America, Inc.","New York, New York",Press Director for VP Candidate
"White House/Karem, Michael J",3,"Trump for America, Inc.","Washington, District of Columbia",Consultant
"White House/Katsas, Gregory",1,Jones Day (law firm),"Washington, District of Columbia",Partner/Attorney
"White House/Katsas, Gregory",2,"Audax Management Co., LLC","Boston, Massachusetts",Client to which I provided legal services
"White House/Katsas, Gregory",3,Cardinal Health Inc.,"Dublin, Ohio",Client to which I provided legal services
"White House/Katsas, Gregory",4,Chevron Corporation,"San Ramon, California",Client to which I provided legal services
"White House/Katsas, Gregory",5,Eaton Corporation,"Dublin, Outside U.S.",Client to which I provided legal services
"White House/Katsas, Gregory",6,Laura and John Arnold Foundation,"Houston, Texas",Client to which I provided legal services
"White House/Katsas, Gregory",7,R.J. Reynolds Tobacco Company,"Winston Salem, North Carolina",Client to which I provided legal services
"White House/Katsas, Gregory",8,United Parcel Service,"Atlanta, Georgia",Client to which I provided legal services
"White House/Katsas, Gregory",9,United States House of Representatives,"Washington, District of Columbia",Client to which I provided legal services
"White House/Katsas, Gregory",10,First American Financial Corporation,"Santa Ana, California",Client to which I provided legal services
"White House/Katsas, Gregory",11,Proctor & Gamble Company,"Cincinnati, Ohio",Client to which I provided legal services
"White House/Katz, Jeremy",1,GCM Grosvenor,"Chicago, Illinois",Executive Management Team Member
"White House/Kellogg, Joseph K",1,Cubic,"San Diego, California","Vice President for Corporate Strategy at defense firm that provide training solutions, among other types of solutions, to military and national security organizations."
"White House/Kelly, Marcia",1,Trinity Law School,"Santa Ana, California",Fundraising for law school.
"White House/Kelly, Marcia",2,Committee on Arrangements (RNC Convention),"Cleveland, Ohio",Operations Director in charge of logistics and operations planning.
"White House/Kelly, Marcia",3,"Trump For America, Inc.","Washington, District of Columbia",Presidential transition duties
"White House/Knight, Shahira E",1,Fidelity Investments,"Washington, District of Columbia",Vice President
"White House/Koenig, Andrew D",1,Freedom Partners Chamber of Commerce,"Arlington, Virginia",Vice President of Policy
"White House/Koenig, Andrew D",2,Freedom Partners Chamber of Commerce,"Arlington, Virginia",Senior Policy Advisor
"White House/Korn, Jennifer",1,Republican National Committee,"Washington, DC, District of Columbia",Deputy political director
"White House/Kushner, Jared",1,"Westminster Management, LLC","New York, New York",Real Estate Management Company Executive - plan and execute acquisition/sales/financing of real estate investments and oversee the company's operations
"White House/Kushner, Jared",2,"OBSERVER MEDIA, LLC (New York Observer & Commercial Observer)","New York, New York",Media Company Executive - publisher for print and online media company
"White House/Lansing, Gerrit",1,Revv LLC,"Washington, District of Columbia","Co-founder, LLC Manager"
"White House/Lansing, Gerrit",2,Greensview LLC,"Washington, District of Columbia",Digital consulting services for the NRCC and Vertical Strategies
"White House/Lansing, Gerrit",3,Republican National Committee,"Washington, District of Columbia",Chief Digital Officer
"White House/Liddell, Chris",1,Xero Limited,"Wellington, NZ, Outside U.S.",Independent Chairman
"White House/Liddell, Chris",2,"IMG Worldwide, William Morris Endeavor Entertainment (WME)","New York, New York",Chief Financial Officer (CFO)
"White House/Lira, Matthew",1,Harbinger Strategies,"Washington, District of Columbia",Digital and Marketing Services
"White House/Lira, Matthew",2,Kevin McCarthy for Congress,"Bakersfield, California",Strategic Consulting
"White House/Locetta, Jennifer R",1,58th Presidential Inaugural Committee,"Washington, District of Columbia",Assistance in the Public Liaison Office
"White House/Locetta, Jennifer R",2,"Sole Strategies, LLC","Sarasota, Florida","Assistance with data organization, marketing and property maintenance"
"White House/Locetta, Jennifer R",3,"Donald J. Trump for President, Inc.","Sarasota, Florida",Assistance with primary and general election campaign.
"White House/Locetta, Jennifer R",4,"Sunshine USA Properties, LLC","Hollywood, Florida","Assistance with data organization, marketing and property maintenance"
"White House/Lotter, Marc E",1,State of Indiana,"Indianapolis, Indiana","Director of External Relations, Indiana State Board of Education"
"White House/Lotter, Marc E",2,Mike Pence for Indiana,"Indianapolis, Indiana",Deputy Campaign Manager
"White House/Lotter, Marc E",3,Eric Holcomb for Indiana,"Indianapolis, Indiana",Consultant
"White House/Lotter, Marc E",4,"Donald Trump for President, Inc.","New York, New York",Press Secretary to Vice Presidential nominee
"White House/Lotter, Marc E",5,Trump for America,"Washington, District of Columbia",Press Secretary to Vice President-elect
"White House/Lotter, Marc E",6,City of Indianapolis,"Indianapolis, Indiana",Communications Director to Mayor of Indianapolis
"White House/Makin, Sarah",1,Trump for America,"Washington, District of Columbia","Director of Coalitions and Outreach, Vice President-Elect Pence"
"White House/Makin, Sarah",2,Wise Public Affairs,"Arlington, Virginia",Vice President and Public Affairs Consultant
"White House/Makin, Sarah",3,US Consumer Coalition,"Arlington, Virginia",Government Affairs Representative (client of Wise Public Affairs)
"White House/Makin, Sarah",4,Donald J. Trump for President,"New York, New York","Consultant - Director of Coalitions and Outreach, Vice Presidential Nominee, Governor Mike Pence"
"White House/Manigault, Omarosa",1,Arise Virtual Solutions Inc.,"Pembroke, Florida",Independent Business Owner (IBO)
"White House/Manigault, Omarosa",2,"44 Blue Production, Inc.","Los Angeles, California",Talent Loan Out
"White House/Manigault, Omarosa",3,"Donald J. Trump for President, Inc.","New York, New York","Director for African American Outreach, OPL"
"White House/Manigault, Omarosa",4,"Trump for America, Presidential Transition Team","Washington, District of Columbia","Executive Committee, OPL"
"White House/Manigault, Omarosa",5,Kleinfeld Bridal Corp,"New York, New York","Trade out, September 2016 - Filer received a wedding package which included a wedding dress, custom veil, and accessories with an estimated value of $25,000 in exchange for appearance on TLC's ""Say Yes to the Dress."""
"White House/Marquis, Ashley H.",1,The Glover Park Group,"Washington, District of Columbia",Employee
"White House/Marquis, Ashley H.",2,National Football League,"New York, New York",Glover Park Group Client -- Communications Consulting
"White House/Marquis, Ashley H.",3,"Apple, Inc.","Cupertino, California",Glover Park Group Client -- Communications Consulting
"White House/Marquis, Ashley H.",4,FanDuel,"New York, New York",Glover Park Group Client -- Communications Consulting
"White House/Marquis, Ashley H.",5,The Coca-Cola Company,"Atlanta, Georgia",Glover Park Group Client -- Communications Consulting
"White House/Marquis, Ashley H.",6,Amtrak,"Washington, District of Columbia",Glover Park Group Client -- Communications Consulting
"White House/Marquis, Ashley H.",7,"Viacom, Inc.","New York, New York",Glover Park Group Client -- Communications Consulting
"White House/Marquis, Ashley H.",8,"ZAG Group, Inc.","Vancouver, Outside U.S.",Glover Park Group Client -- Communications Consulting
"White House/Marshall, Kirk R",1,Trump For America,"Washington, District of Columbia",Provided project management services and led special projects from August 2016 to Jan. 2017.
"White House/Marshall, Kirk R",2,Deloitte Consulting,"McLean, Virginia",Provided organizational change management/stakeholder engagement services to clients and internal stakeholders.
"White House/Marshall, Kirk R",3,Booz Allen Hamilton,"McLean, Virginia",Provided organizational change management/stakeholder engagement services to clients and internal stakeholders.
"White House/Mashburn, John K",1,"Trump for America, Inc.","Washington, District of Columbia",Senior Policy Advisor
"White House/Mashburn, John K",2,Donald J. Trump for President,"New York, New York",Policy Director
"White House/Mashburn, John K",3,American Civil Rights Union,"Alexandria, Virginia",Consultant
"White House/Matich, Nicholas T",1,Bancroft PLLC,"Washington, District of Columbia",Attorney
"White House/Matich, Nicholas T",2,Williams & Connolly LLP,"Washington, District of Columbia",Attorney
"White House/Matich, Nicholas T",3,"Arab Bank, PLC","Jordan, Outside U.S.",Attorney
"White House/Matich, Nicholas T",4,"Jet.com, Inc.","Hoboken, New Jersey",Attorney
"White House/Matich, Nicholas T",5,Motion Picture Association of America,"Washington, District of Columbia",Attorney
"White House/Matich, Nicholas T",6,George P. Stephenson,"Alexandria, Virginia",Attorney
"White House/Matich, Nicholas T",7,Syngenta AG,"Switzerland, Outside U.S.",Attorney
"White House/Matich, Nicholas T",8,"Sanofi, S.A.","France, Outside U.S.",Attorney
"White House/Matich, Nicholas T",9,"Regeneron Pharmaceuticals, Inc.","Tarrytown, New York",Attorney
"White House/Matich, Nicholas T",10,"Strayer Education, Inc.","Herndon, Virginia",Attorney
"White House/Matich, Nicholas T",11,"Alcon Research, Ltd.","Fort Worth, Texas",Attorney
"White House/Matich, Nicholas T",12,"HSBC Bank USA, N.A.","Mclean, Virginia",Attorney
"White House/Matich, Nicholas T",13,"Novartis, AG","Switzerland, Outside U.S.",Attorney
"White House/Matich, Nicholas T",14,"Booz, Allen & Hamilton, Inc.","Mclean, Virginia",Attorney
"White House/Matich, Nicholas T",15,Sanofi-Aventis U.S. LLC,"Bridgewater, New Jersey",Attorney
"White House/Matich, Nicholas T",16,"Aventisub LLC, f/d/b/a/ Aventis Pharmaceuticals Inc.","Greenville, Delaware",Attorney
"White House/Matich, Nicholas T",17,Alcon Laboratories Holding Corp.,"Fort Worth, Texas",Attorney
"White House/Matich, Nicholas T",18,Kirkland & Ellis LLP,"Washington, District of Columbia",Attorney
"White House/Matich, Nicholas T",19,Syngenta Crop Protection AG,"Switzerland, Outside U.S.",Attorney
"White House/Matich, Nicholas T",20,Syngenta Corp.,"Wilmington, Delaware",Attorney
"White House/Matich, Nicholas T",21,Syngenta Crop Protection LLC,"Greensboro, North Carolina",Attorney
"White House/Matich, Nicholas T",22,Syngenta Seeds LLC,"Wilmington, Delaware",Attorney
"White House/McEntee, John D",1,Fox News,"New York, New York",Production Assistant
"White House/McEntee, John D",2,Donald J. Trump for President,"New York, New York",Campaign Trip Director
"White House/McFarland, Kathleen",1,U.S. Global Leadership Coalition,"Washington, District of Columbia",Honorarium
"White House/McFarland, Kathleen",2,American Fuel & Petrochemical Manufacturers,"Washington, District of Columbia","Honorarium, AFPM Security Conference"
"White House/McFarland, Kathleen",3,Keppler Speakers,"Arlington, Virginia","Honorarium, Wisconsin Bankers Association Bank Executives Conference"
"White House/McFarland, Kathleen",4,Keppler Speakers,"Arlington, Virginia","Honorarium, Ohio Cable Telecommunications Association"
"White House/McFarland, Kathleen",5,Keppler Speakers,"Arlington, Virginia","Honorarium, Bakersfield Business Conference"
"White House/McFarland, Kathleen",6,Kepplers Speakers,"Arlington, Virginia","Honorarium, Construction Industry Round Table"
"White House/McFarland, Kathleen",7,Kepplers Speakers,"Arlington, Virginia","Honorarium, 7th Annual Cyber Security Awareness Week"
"White House/McFarland, Kathleen",8,Politicon,"Los Angeles, California",Honorarium
"White House/McFarland, Kathleen",9,U.S. Global Leadership Coalition,"Washington, District of Columbia","Honorarium, USGLC State Leaders Summit"
"White House/McFarland, Kathleen",10,Keppler Speakers,"Arlington, Virginia","Honorarium, Associated Equipment Distributors Annual Economic Forum"
"White House/McFarland, Kathleen",11,Keppler Speakers,"Arlington, Virginia","Honorarium, Air Movement & Control Association"
"White House/McFarland, Kathleen",12,Texas Crime Stoppers,"Austin, Texas",Honorarium
"White House/McFarland, Kathleen",13,Ross Yoon Agency Crown Publisher for Book named Turning Point -- Reclaiming an America We Can Believe In,"Washington, District of Columbia",Author's advance
"White House/McFarland, Kathleen",14,Keppler Speakers,"Washington, District of Columbia",Honorarium
"White House/McFarland, Kathleen",15,Keppler Speakers,"Charleston, South Carolina",Honorarium
"White House/McFarland, Kathleen",16,Keppler Speakers,"Madison, Wisconsin",Honorarium
"White House/McFarland, Kathleen",17,Keppler Speakers,"Memphis, Tennessee",Honorarium
"White House/McFarland, Kathleen",18,Keppler Speakers,"Wauwatosa, Wisconsin",Honorarium
"White House/McFarland, Kathleen",19,Keppler Speakers,"Atlanta, Georgia",Honorarium
"White House/McFarland, Kathleen",20,Salem Radio,"Chicago, Illinois",Honorarium
"White House/McFarland, Kathleen",21,Colorado Women's Alliance,"Denver, Colorado",Honorarium
"White House/McFarland, Kathleen",22,Aspen Glen,"Aspen, Colorado",Honorarium
"White House/McFarland, Kathleen",23,Keppler,"Oklahoma City, Oklahoma",Honorarium
"White House/McFarland, Kathleen",24,US Global Leadership Coalition,"Denver, Colorado",Honorarium
"White House/McFarland, Kathleen",25,US Global Leadership Coalition,"Milwaukee, Wisconsin",Honorarium
"White House/McGahn, Donald F",1,Jones Day,"Washington, District of Columbia",Law practice
"White House/McGahn, Donald F",2,Freedom Partners Chamber of Commerce,"Arlington, Virginia",Legal Services
"White House/McGahn, Donald F",3,Friends of Todd Young,"Bloomington, Indiana",Legal Services
"White House/McGahn, Donald F",4,i360,"Arlington, Virginia",Legal Services
"White House/McGahn, Donald F",5,Kirk for Senate,"Chicago, Illinois",Legal Services
"White House/McGahn, Donald F",6,National Rifle Association,"Fairfax, Virginia",Legal Services
"White House/McGahn, Donald F",7,Person to Person PAC,"Colorado Springs, Colorado",Legal Services
"White House/McGahn, Donald F",8,Americans for Economic Freedom,"Austin, Texas",Legal Services
"White House/McGahn, Donald F",9,Americans for Prosperity,"Arlington, Virginia",Legal Services
"White House/McGahn, Donald F",10,Arena Communications,"Salt Lake City, Utah",Legal Services
"White House/McGahn, Donald F",11,Citizens United Foundation,"Washington, District of Columbia",Legal Services
"White House/McGahn, Donald F",12,David Vitter for U.S. Senate,"Metairie, Louisiana",Legal Services
"White House/McGahn, Donald F",13,Donald J. Trump for President,"New York, New York",Legal Services
"White House/McGahn, Donald F",14,Fleming for Congress,"Minden, Louisiana",Legal Services
"White House/McGahn, Donald F",15,Freedom Partners Action Fund,"Arlington, Virginia",Legal Services
"White House/McGahn, Donald F",16,Republican National Committee,"Washington, District of Columbia",Legal Services
"White House/McGahn, Donald F",17,Rooney for Congress,"Tampa, Florida",Legal Services
"White House/McGahn, Donald F",18,"Schock, Aaron","Peoria, Illinois",Legal Services
"White House/McGahn, Donald F",19,Strategic Media 21,"San Jose, California",Legal Services
"White House/McGahn, Donald F",20,Trump Make America Great Again Committee,"New York, New York",Legal Services
"White House/McGahn, Donald F",21,Trump Victory,"New York, New York",Legal Services
"White House/McGahn, Donald F",22,Veterans For A Strong America,"Sioux Falls, South Dakota",Legal Services
"White House/McGinley, Bill",1,Jones Day,"Washington, District of Columbia",Law firm partner
"White House/McGinley, Bill",2,America Leads,"Washington, District of Columbia",Legal services
"White House/McGinley, Bill",3,Center for American Opportunity,"Arlington, Virginia",Legal services
"White House/McGinley, Bill",4,Chris Christie for President,"Colonia, New Jersey",Legal services
"White House/McGinley, Bill",5,45Committee,"Herndon, Virginia",legal services
"White House/McGinley, Bill",6,Ralph Abraham for Congress,"Archibald, Louisiana",Legal services
"White House/McGinley, Bill",7,Cory Gardner for Senate,"Lone Tree, Colorado",legal services
"White House/McGinley, Bill",8,Data Trust Client Services,"Washington, District of Columbia",Legal services
"White House/McGinley, Bill",9,Deep Root Analytics,"Arlington, Virginia",Legal services
"White House/McGinley, Bill",10,Discovery Communications,"Silver Spring, Maryland",Legal Services
"White House/McGinley, Bill",11,"Donald J. Trump for President, Inc.","New York, New York",Legal services
"White House/McGinley, Bill",12,ESAFund,"Tampa, Florida",Legal services
"White House/McGinley, Bill",13,"Ending Spending, Inc.","Tampa, Florida",Legal services
"White House/McGinley, Bill",14,Fierce Government Relations,"Washington, District of Columbia",Legal services
"White House/McGinley, Bill",15,Fleming for Senate,"Minden, Louisiana",Legal services
"White House/McGinley, Bill",16,Fraternity and Sorority Action Fund,"Alexandria, Virginia",Legal services
"White House/McGinley, Bill",17,Fraternity and Sorority Political Action Committee,"Alexandria, Virginia",Legal services
"White House/McGinley, Bill",18,FreedomWorks for America,"Washington, District of Columbia",Legal services
"White House/McGinley, Bill",19,Future45,"Washington, District of Columbia",Legal services
"White House/McGinley, Bill",20,Leadership Matters for America,"Colonia, New Jersey",Legal services
"White House/McGinley, Bill",21,NRSC,"Washington, District of Columbia",Legal services
"White House/McGinley, Bill",22,National Republican Congressional Committee,"Washington, District of Columbia",Legal services
"White House/McGinley, Bill",23,Republican National Committee,"Washington, District of Columbia",Legal services
"White House/McGinley, Bill",24,New York Republican State Committee,"Albany, New York",Legal services
"White House/McGinley, Bill",25,Oklahoma Leadership Council,"Oklahoma City, Oklahoma",Legal services
"White House/McGinley, Bill",26,Opportunity Solutions Corporation,"Arlington, Virginia",Legal services
"White House/McGinley, Bill",27,Opportunity News Media,"Arlington, Virginia",Legal services
"White House/McGinley, Bill",28,Public Opinion Services,"Alexandria, Virginia",Legal services
"White House/McGinley, Bill",29,Schock for Congress,"Peoria, Illinois",Legal servies
"White House/McGinley, Bill",30,Vern Buchanan for Congress,"Sarasota, Florida",Legal services
"White House/McGinley, Bill",31,Roskam for Congress Committee,"Wheaton, Illinois",Legal services
"White House/McGinley, Bill",32,"Friends of Sessions Senate Committee, Inc.","Montgomery, Alabama",Legal services
"White House/McGinley, Bill",33,Heaney for Congress,"Millbrook, New York",Legal services
"White House/McGinley, Bill",34,Fitzpatrick for Congress,"Langhorne, Pennsylvania",Legal services
"White House/McGinley, Bill",35,Jim Renacci for Congress,"Wadsworh, Ohio",Legal services
"White House/McGinley, Bill",36,Lance for Congress,"Colonia, New Jersey",Legal services
"White House/McGinley, Bill",37,"Pat Roberts for US Senate, Inc.","Great Bend, Kansas",Legal services
"White House/McGinley, Bill",38,Noelle Nikpour for Congress,"Beverly, Massachusetts",Legal services
"White House/McGinley, Bill",39,Valadao for Congress,"Fresno, California",Legal services
"White House/Meeks, Daris",1,Venable LLP,"Washington, District of Columbia",Partner at this firm.
"White House/Meeks, Daris",2,"Broadbill Investment Partners, LLC","New York, New York",Legal Services (Client of Venable LLP)
"White House/Meeks, Daris",3,Experian,"Washington, District of Columbia",Federal Government Consulting and Lobbying. (Client of Venable LLP)
"White House/Meeks, Daris",4,Franklin Advisers,"San Mateo, California",Federal Government Consulting and Lobbying. (Client of Venable LLP)
"White House/Meeks, Daris",5,General Electric Co.,"Washington, District of Columbia",Federal Government Consulting and Lobbying. (Client of Venable LLP)
"White House/Meeks, Daris",6,"Lloyd's America, Inc.","New York, New York",Federal Government Consulting and Lobbying. (Client of Venable LLP)
"White House/Meeks, Daris",7,Metropolitan Life Insurance Co.,"Washington, District of Columbia",Federal Government Consulting and Lobbying. (Client of Venable LLP)
"White House/Meeks, Daris",8,Property Casualty Insurers Association,"Washington, District of Columbia",Federal Government Consulting and Lobbying. (Client of Venable LLP)
"White House/Meeks, Daris",9,"SecureView, LLC","Cleveland, Ohio",Federal Government Consulting and Lobbying. (Client of Venable LLP)
"White House/Meeks, Daris",10,S&P Global Inc.,"Washington, District of Columbia",Federal Government Consulting and Lobbying. (Client of Venable LLP)
"White House/Meeks, Daris",11,The Clearing House Association,"Washington, District of Columbia",Federal Government Consulting and Lobbying. (Client of Venable LLP)
"White House/Meeks, Daris",12,"Angelo, Gordon & Co.","New York, New York",Federal Government Consulting and Lobbying. (Client of Venable LLP)
"White House/Meeks, Daris",13,Blue Mountain Capital Management,"New York, New York",Federal Government Consulting and Lobbying. (Client of Venable LLP)
"White House/Meeks, Daris",14,Knighthead Capital Management,"New York, New York",Federal Government Consulting and Lobbying. (Client of Venable LLP)
"White House/Meeks, Daris",15,Marathon Asset Management,"New York, New York",Federal Government Consulting and Lobbying. (Client of Venable LLP)
"White House/Meeks, Daris",16,D.E. Shaw Galvanic Portfolio,"New York, New York",Federal Government Consulting and Lobbying. (Client of Venable LLP)
"White House/Miller, Stephen",1,"Insperity PEO Services, L.P.","Dallas, Texas","Income while employed for Donald J. Trump For President, Inc. and Trump For America, Inc. by Insperity PEO Services, L.P. During the period of employment by Insperity, gross compensation was $124,885.66. (see endnote)"
"White House/Morgan, Matthew",1,Barnes & Thornburg LLP,"Indianapolis, Indiana",Attorney and Partner at this firm
"White House/Morgan, Matthew",2,AAR CORP,"Wood Dale, Illinois",Legal services (client of Barnes & Thornburg LLP)
"White House/Morgan, Matthew",3,Auctor Corporation,"Indianapolis, Indiana",Legal services (client of Barnes & Thornburg LLP)
"White House/Morgan, Matthew",4,"Board of Commissioners of Allen County, Indiana","Fort Wayne, Indiana",Legal services (client of Barnes & Thornburg LLP)
"White House/Morgan, Matthew",5,"Board of Commissioners of Dearborn County, Indiana","Lawrenceburg, Indiana",Legal services (client of Barnes & Thornburg LLP)
"White House/Morgan, Matthew",6,"Board of Commissioners of Shelby County, Indiana","Shelbyville, Indiana",Legal services (client of Barnes & Thornburg LLP)
"White House/Morgan, Matthew",7,"Board of Commissioners of St. Joseph County, Indiana","South Bend, Indiana",Legal services (client of Barnes & Thornburg LLP)
"White House/Morgan, Matthew",8,"Board of Commissioners of Vanderburgh County, Indiana","Evansville, Indiana",Legal services (client of Barnes & Thornburg LLP)
"White House/Morgan, Matthew",9,"City of Evansville, Indiana","Evansville, Indiana",Legal services (client of Barnes & Thornburg LLP)
"White House/Morgan, Matthew",10,"City of Fishers, Indiana","Fishers, Indiana",Legal services (client of Barnes & Thornburg LLP)
"White House/Morgan, Matthew",11,"City of Indianapolis, Indiana","Indianapolis, Indiana",Legal services (client of Barnes & Thornburg LLP)
"White House/Morgan, Matthew",12,"City of LaPorte, Indiana","LaPorte, Indiana",Legal services (client of Barnes & Thornburg LLP)
"White House/Morgan, Matthew",13,"Clear Channel Outdoor, Inc.","Indianapolis, Indiana",Legal services (client of Barnes & Thornburg LLP)
"White House/Morgan, Matthew",14,"Community Foundation of Northwest Indiana, Inc.","Munster, Indiana",Legal services (client of Barnes & Thornburg LLP)
"White House/Morgan, Matthew",15,"FFP New Hydro, LLC","Boston, Massachusetts",Legal services (client of Barnes & Thornburg LLP)
"White House/Morgan, Matthew",16,Global Tel*Link,"Reston, Virginia",Legal services (client of Barnes & Thornburg LLP)
"White House/Morgan, Matthew",17,Health & Hospital Corporation of Marion County,"Indianapolis, Indiana",Legal services (client of Barnes & Thornburg LLP)
"White House/Morgan, Matthew",18,Indiana Logo Sign Group,"Indianapolis, Indiana",Legal services (client of Barnes & Thornburg LLP)
"White House/Morgan, Matthew",19,Indiana Statewide 911 Board,"Indianapolis, Indiana",Legal services (client of Barnes & Thornburg LLP)
"White House/Morgan, Matthew",20,Indianapolis Public Transportation Corporation,"Indianapolis, Indiana",Legal services (client of Barnes & Thornburg LLP)
"White House/Morgan, Matthew",21,"Intellectual Technology, Inc.","Carlsbad, California",Legal services (client of Barnes & Thornburg LLP)
"White House/Morgan, Matthew",22,InterAct Public Safety Systems,"Winston-Salem, North Carolina",Legal services (client of Barnes & Thornburg LLP)
"White House/Morgan, Matthew",23,Interlocal Cooperation Board of the City of West Lafayette and Purdue University,"West Lafayette, Indiana",Legal services (client of Barnes & Thornburg LLP)
"White House/Morgan, Matthew",24,Johnson Controls,"Milwaukee, Wisconsin",Legal services (client of Barnes & Thornburg LLP)
"White House/Morgan, Matthew",25,"Krone NA, Inc.","Memphis, Tennessee",Legal services (client of Barnes & Thornburg LLP)
"White House/Morgan, Matthew",26,"Marquis Consulting Services, Inc.","Fort Wayne, Indiana",Legal services (client of Barnes & Thornburg LLP)
"White House/Morgan, Matthew",27,Microsoft Corportation,"Redmond, Washington",Legal services (client of Barnes & Thornburg LLP)
